=== PRE-FILTER: Extract target cluster rows from 50GB opinions CSV ===

Target clusters: 6718
Using: C:\Program Files\Git\usr\bin\bzcat.exe
Header verified: column 21 = "cluster_id"
Streaming (multi-line aware)...

  1600M lines, 7160754 records, 5907 matched, 87753 lines/sec (303.9 min)
  1605M lines, 7172269 records, 5909 matched, 87881 lines/sec (304.4 min)
  1610M lines, 7185708 records, 5916 matched, 88049 lines/sec (304.8 min)
  1615M lines, 7200700 records, 5920 matched, 88224 lines/sec (305.1 min)
  1620M lines, 7215931 records, 5925 matched, 88335 lines/sec (305.7 min)
  1625M lines, 7233545 records, 5927 matched, 88431 lines/sec (306.3 min)
  1630M lines, 7247879 records, 5930 matched, 88584 lines/sec (306.7 min)
  1635M lines, 7261290 records, 5931 matched, 88768 lines/sec (307.0 min)
  1640M lines, 7284499 records, 5934 matched, 88929 lines/sec (307.4 min)
  1645M lines, 7304793 records, 5938 matched, 89101 lines/sec (307.7 min)
  1650M lines, 7322816 records, 5945 matched, 89288 lines/sec (308.0 min)
  1655M lines, 7333847 records, 5948 matched, 89485 lines/sec (308.2 min)
  1660M lines, 7343676 records, 5952 matched, 89687 lines/sec (308.5 min)
  1665M lines, 7355362 records, 5953 matched, 89882 lines/sec (308.7 min)
  1670M lines, 7366893 records, 5964 matched, 90075 lines/sec (309.0 min)
  1675M lines, 7383835 records, 5970 matched, 90243 lines/sec (309.3 min)
  1680M lines, 7401450 records, 5974 matched, 90394 lines/sec (309.8 min)
  1685M lines, 7413723 records, 5978 matched, 90560 lines/sec (310.1 min)
  1690M lines, 7426724 records, 5983 matched, 90741 lines/sec (310.4 min)
  1695M lines, 7436306 records, 5985 matched, 90938 lines/sec (310.7 min)
  1700M lines, 7444344 records, 5988 matched, 91135 lines/sec (310.9 min)
  1705M lines, 7453653 records, 5992 matched, 91325 lines/sec (311.2 min)
  1710M lines, 7463415 records, 5995 matched, 91525 lines/sec (311.4 min)
  1715M lines, 7473641 records, 5997 matched, 91717 lines/sec (311.6 min)
  6000 records matched, 7481225 records scanned (311.8 min)
  1720M lines, 7485167 records, 6001 matched, 91906 lines/sec (311.9 min)
  1725M lines, 7495199 records, 6004 matched, 92097 lines/sec (312.2 min)
  1730M lines, 7503207 records, 6007 matched, 92300 lines/sec (312.4 min)
  1735M lines, 7510914 records, 6009 matched, 92506 lines/sec (312.6 min)
  1740M lines, 7518737 records, 6010 matched, 92708 lines/sec (312.8 min)
